NAME,SAEPOVRTALL_RATE,Location,Latitude,Longitude
Modoc County,21.5,"41.456517,-120.629366",41.456517,-120.629366
Mono County,10.8,"37.921861,-118.952865",37.921861,-118.952865
Monterey County,17.1,"36.31362,-121.354163",36.31362,-121.354163
Napa County,12,"38.502469,-122.265389",38.502469,-122.265389
Nevada County,12.1,"39.134667,-121.171039",39.134667,-121.171039
Orange County,13,"33.717471,-117.831143",33.717471,-117.831143
Placer County,8.5,"39.091575,-120.803947",39.091575,-120.803947
Plumas County,14.8,"39.992683,-120.803947",39.992683,-120.803947
Riverside County,16.9,"33.953297,-117.396119",33.953297,-117.396119
Sacramento County,17.7,"38.47467,-121.354163",38.47467,-121.354163
San Benito County,12.4,"36.576088,-120.987632",36.576088,-120.987632
San Bernardino County,19.4,"34.959208,-116.419389",34.959208,-116.419389
San Diego County,15.2,"32.715731,-117.161097",32.715731,-117.161097
San Francisco County,13.8,"37.77493,-122.419416",37.77493,-122.419416
San Joaquin County,18.2,"37.917594,-121.171039",37.917594,-121.171039
San Luis Obispo County,15.1,"35.31023,-120.435763",35.31023,-120.435763
San Mateo County,7.9,"37.433734,-122.401419",37.433734,-122.401419
Santa Barbara County,15.4,"34.420832,-119.698206",34.420832,-119.698206
Santa Clara County,10.7,"37.333658,-121.890704",37.333658,-121.890704
Santa Cruz County,14.9,"37.045399,-121.957958",37.045399,-121.957958
Shasta County,19.4,"40.790886,-121.847449",40.790886,-121.847449
Sierra County,13.6,"39.553285,-120.251273",39.553285,-120.251273
Siskiyou County,24.4,"41.774326,-122.577013",41.774326,-122.577013
Solano County,13.6,"38.310497,-121.901795",38.310497,-121.901795
Sonoma County,12.2,"38.577956,-122.988832",38.577956,-122.988832
Stanislaus County,23.3,"37.509071,-120.987632",37.509071,-120.987632
Sutter County,15.8,"39.021976,-121.673937",39.021976,-121.673937
Tehama County,19.5,"40.09822,-122.174605",40.09822,-122.174605
Trinity County,21.4,"40.632949,-123.062255",40.632949,-123.062255
Tulare County,25.6,"36.134174,-118.85968",36.134174,-118.85968
Tuolumne County,16.6,"38.029655,-119.974053",38.029655,-119.974053
Ventura County,11.5,"34.370488,-119.139064",34.370488,-119.139064
Yolo County,21.3,"38.764602,-121.901795",38.764602,-121.901795
Yuba County,19.6,"39.2547027,-121.3998995",39.2547027,-121.3998995
Adams County,16.1,"39.839827,-104.193092",39.839827,-104.193092
Alamosa County,22.7,"37.654039,-105.876004",37.654039,-105.876004
Arapahoe County,12,"39.62031,-104.332644",39.62031,-104.332644
Archuleta County,14.9,"37.160432,-107.006703",37.160432,-107.006703
Baca County,20.5,"37.394731,-102.529803",37.394731,-102.529803
Bent County,32.4,"38.003634,-103.08179",38.003634,-103.08179
Boulder County,13.8,"40.151211,-105.500548",40.151211,-105.500548
Broomfield County,6.5,"39.920541,-105.08665",39.920541,-105.08665
Chaffee County,12.9,"38.753668,-106.252214",38.753668,-106.252214
Cheyenne County,12.9,"38.800256,-102.621621",38.800256,-102.621621
Clear Creek County,8.9,"39.690446,-105.641253",39.690446,-105.641253
Conejos County,19.8,"37.268971,-106.252214",37.268971,-106.252214
Costilla County,26,"37.20496,-105.500548",37.20496,-105.500548
Crowley County,48.1,"38.2498631,-103.8216261",38.2498631,-103.8216261
Custer County,15.6,"38.061558,-105.313118",38.061558,-105.313118
Delta County,16.6,"38.853136,-107.763621",38.853136,-107.763621
Denver County,18.7,"39.739236,-104.990251",39.739236,-104.990251
Dolores County,13.3,"37.753027,-108.522571",37.753027,-108.522571
Douglas County,4.3,"39.258711,-104.938885",39.258711,-104.938885
Eagle County,9.8,"39.576406,-106.723464",39.576406,-106.723464
El Paso County,13.2,"38.910833,-104.47233",38.910833,-104.47233
Elbert County,7.9,"39.3537,-104.193092",39.3537,-104.193092
Fremont County,18,"38.530651,-105.500548",38.530651,-105.500548
Garfield County,10.7,"39.658478,-107.763621",39.658478,-107.763621
Gilpin County,7.8,"39.877016,-105.453672",39.877016,-105.453672
Grand County,10.4,"40.072738,-106.064018",40.072738,-106.064018
Gunnison County,17.9,"38.643708,-107.006703",38.643708,-107.006703
Hinsdale County,10.7,"37.931631,-107.384883",37.931631,-107.384883
Huerfano County,22,"37.612598,-104.938885",37.612598,-104.938885
Jackson County,16.1,"40.681924,-106.252214",40.681924,-106.252214
Jefferson County,9,"39.58003,-105.266293",39.58003,-105.266293
